College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Chamberlain University at Miramar](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Miramar,15-Jul-21,For-profit,FL,✓,--,✓,--,--,R
[Chamberlain University at New Orleans](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at New Orleans,15-Jul-21,For-profit,LA,✓,--,✓,--,--,R
[Chamberlain University at North Brunswick](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at North Brunswick,15-Jul-21,For-profit,NJ,✓,--,✓,--,--,D
[Chamberlain University at Pearland](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Pearland,15-Jul-21,For-profit,TX,✓,--,✓,--,--,R
[Chamberlain University at Phoenix](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Phoenix,15-Jul-21,For-profit,AZ,✓,--,✓,--,--,D
[Chamberlain University at Sacramento](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Sacramento,15-Jul-21,For-profit,CA,✓,--,✓,--,--,D
[Chamberlain University at San Antonio](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at San Antonio,15-Jul-21,For-profit,TX,✓,--,✓,--,--,R
[Chamberlain University at St. Louis](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at St. Louis,15-Jul-21,For-profit,MO,✓,--,✓,--,--,R
[Chamberlain University at Tinley Park](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Tinley Park,15-Jul-21,For-profit,IL,✓,--,✓,--,--,D
[Chamberlain University at Troy](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Troy,15-Jul-21,For-profit,MI,✓,--,✓,--,--,D
[Chamberlain University at Tysons Corner](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Tysons Corner,15-Jul-21,For-profit,VA,✓,--,✓,--,--,D
[Champlain College ](https://view.champlain.edu/may-6-2021-covid-19-update/)@@Champlain College ,6-May-21,Private,VT,--,--,✓,--,--,D
[Chapman University](https://www.chapman.edu/admission/undergraduate/visit/campus.aspx)@@Chapman University,--,Private,CA,✓,--,✓,--,--,D
[Charles R Drew University of Medicine and Science](https://www.cdrewu.edu/Return-to-Campus/Vaccination-Exemption-Forms)@@Charles R Drew University of Medicine and Science,--,Private,CA,--,--,✓,--,--,D
[Charter College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Charter College,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[Charter Oak State College](https://www.ct.edu/covid19#faqs)@@Charter Oak State College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Chatham University](https://www.chatham.edu/covid-19/vaccine-info/vaccine-requirements.html)@@Chatham University,--,Private,PA,✓,--,✓,--,--,D
[Chestnut Hill College](https://www.chc.edu/vaccination-policy)@@Chestnut Hill College,--,Private,PA,✓,--,✓,--,--,D
[Chicago School of Professional Psychology at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Chicago School of Professional Psychology at Chicago,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Chicago State University](https://www.csu.edu/covid19updates/)@@Chicago State University,4-Aug-21,Public,IL,✓,--,✓,--,--,D
[Chicago Theological Seminary](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Chicago Theological Seminary,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Christian Brothers University](https://www.cbu.edu/coronavirus/)@@Christian Brothers University,28-Jun-21,Private,TN,✓,--,✓,--,--,R
[Christopher Newport University](https://cnu.edu/news/2021/05/27-cnu-vaccines/#.YLetH7RKj9F)@@Christopher Newport University,27-May-21,Public,VA,--,--,✓,--,--,D
[City Colleges of Chicago-Harold Washington College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Harold Washington College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City Colleges of Chicago-Harry S. Truman College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Harry S. Truman College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City Colleges of Chicago-Kennedy-King College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Kennedy-King College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City Colleges of Chicago-Malcolm X College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Malcolm X College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City Colleges of Chicago-Olive-Harvey College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Olive-Harvey College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City Colleges of Chicago-Richard J. Daley College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Richard J. Daley College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City Colleges of Chicago-Wilbur Wright College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@City Colleges of Chicago-Wilbur Wright College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[City University of Seattle](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@City University of Seattle,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Claflin University](https://www.claflin.edu/news-events/the-panther/vaccine-mandate-in-place-for-homecoming-spring-semester)@@Claflin University,--,Private,SC,✓,--,✓,--,--,R
[Claremont Graduate University](https://info.cgu.edu/emergency/office-of-the-president-cgu-return-to-campus-update/)@@Claremont Graduate University,6-May-21,Private,CA,✓,--,✓,--,--,D
[Claremont McKenna College](https://cmc-returns21.cmc.edu/presidents-message/)@@Claremont McKenna College,8-Apr-21,Private,CA,--,--,✓,--,--,D
[Clark Atlanta University](https://www.ajc.com/education/emory-and-atlantas-to-require-students-get-covid-19-vaccine/4M3BJZVT5JFVJC6HVB6VGFX5OI/)@@Clark Atlanta University,19-Apr-21,Private,GA,✓,--,✓,--,--,D
[Clark College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Clark College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Clark University](https://www.clarku.edu/offices/president/2021/05/20/covid-19-vaccine-requirement/)@@Clark University,20-May-21,Private,MA,✓,--,✓,--,--,D
[Clarkson University](https://announcements.clarkson.edu/2021/05/11/covid-19-read-act-for-safest-learning-living-community-vaccination-required-for-all-employees-students/)@@Clarkson University,11-May-21,Private,NY,✓,--,✓,--,--,D
[Cleveland Institute of Art](https://www.cia.edu/files/resources/covid-relatedmandatesandupdatesforfall2021semester.pdf)@@Cleveland Institute of Art,--,Private,OH,✓,--,✓,--,✓,R
[Cleveland State University](https://www.csuohio.edu/news/cleveland-state-university-welcome-all-students-back-campus-for-fall-2021)@@Cleveland State University,1-Apr-21,Public,OH,--,--,--,✓,--,R
[Clinton Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Clinton Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Clover Park Technical College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Clover Park Technical College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Coastline College](https://www.cccd.edu/aboutus/novelcoronavirus/index.cfm)@@Coastline College,24-Aug-21,Public,CA,✓,--,✓,--,--,D
[Colby College](https://covid19.colby.edu/2021/07/08/vaccination-update/)@@Colby College,8-Jul-21,Private,ME,✓,--,✓,--,--,D
[Colby-Sawyer College](https://colby-sawyer.edu/news/vaccination-policy)@@Colby-Sawyer College,26-May-21,Private,NH,✓,--,✓,--,--,D
[Colgate University](https://www.colgate.edu/colgate-together/university-policies-during-covid-19/vaccination-policy)@@Colgate University,5-May-21,Private,NY,✓,--,✓,--,--,D
[College for Creative Studies](https://www.collegeforcreativestudies.edu/health-safety/)@@College for Creative Studies,--,Private,MI,✓,--,✓,--,--,D
[College of Alameda](https://safe.peralta.edu/updates/campusstatus8-3-21)@@College of Alameda,5-Aug-21,Public,CA,✓,--,✓,--,--,D
[College of DuPage](https://www.cod.edu/about/office_of_the_president/index.aspx)@@College of DuPage,--,Public,IL,✓,--,✓,--,--,D
[College of Lake County](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@College of Lake County,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[College of Mount Saint Vincent](https://mountsaintvincent.edu/covid-19-resources/information-on-coronavirus-covid-19/)@@College of Mount Saint Vincent,--,Private,NY,✓,--,✓,--,--,D
[College of Saint Benedict](https://www.csbsju.edu/covid-19/campus-communications/080421-vaccination-requirement)@@College of Saint Benedict,4-Aug-21,Private,MN,✓,--,✓,--,✓,D
[College of Saint Rose](https://www.strose.edu/2021/08/18/new-vaccine-requirement-with-september-9-deadline/)@@College of Saint Rose,18-Aug-21,Private,NY,✓,--,✓,--,--,D
[College of Southern Maryland](https://www.csmd.edu/ready/covid-19/vaccine-requirement.html)@@College of Southern Maryland,--,Public,MD,✓,--,✓,--,--,D
[College of Southern Nevada](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@College of Southern Nevada,20-Aug-21,Public,NV,✓,--,--,--,--,D
[College of Staten Island CUNY](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@College of Staten Island CUNY,10-May-21,Public,NY,✓,--,✓,--,✓,D
[College of the Atlantic](https://www.wabi.tv/2021/04/19/college-of-atlantic-to-require-all-on-campus-students-staff-to-be-vaccinated-next-fall/)@@College of the Atlantic,19-Apr-21,Private,ME,✓,--,✓,--,--,D
[College of the Holy Cross](https://www.holycross.edu/2019-novel-coronavirus-covid-19-information/communications/2021-04-27-vaccinations-fall-return)@@College of the Holy Cross,27-Apr-21,Private,MA,✓,--,✓,--,--,D
[College of Westchester](https://www.cw.edu/blog/2021/08/27/message-president-august-27-2021)@@College of Westchester,27-Aug-21,For-profit,NY,--,--,✓,--,--,D
[Colorado College](https://us8.campaign-archive.com/?u=a2ffa14c4a3c79ddcc1b20faa&id=a91e17a99a)@@Colorado College,26-Apr-21,Private,CO,✓,--,✓,--,✓,D
[Colorado School of Mines](https://www.mines.edu/emergency/update-on-covid-19-vaccination-plan-for-fall-2021/)@@Colorado School of Mines,7-Jun-21,Public,CO,✓,--,✓,--,--,D
[Colorado State University at Fort Collins](https://csusystem.edu/csu-system-announces-covid-vaccine-requirement-for-fall-2021/)@@Colorado State University at Fort Collins,28-Apr-21,Public,CO,✓,--,✓,--,✓,D
[Colorado State University at Pueblo](https://csusystem.edu/csu-system-announces-covid-vaccine-requirement-for-fall-2021/)@@Colorado State University at Pueblo,28-Apr-21,Public,CO,✓,--,✓,--,✓,D
[Columbia Basin College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Columbia Basin College,20-Aug-21,Public,WA,✓,--,✓,--,--,D
[Columbia College Chicago](https://www.colum.edu/reopening/vaccinations)@@Columbia College Chicago,19-Apr-21,Private,IL,✓,--,✓,--,--,D
[Columbia Theological Seminary](http://www.ctsnet.edu/wp-content/uploads/2021/07/COVID-19-Vaccination-Policy.pdf)@@Columbia Theological Seminary,--,Private,GA,✓,--,--,--,--,D
[Columbia University](https://covid19.columbia.edu/news/fall-2021-vaccine-policy-update)@@Columbia University,19-Apr-21,Private,NY,✓,--,✓,--,✓,D
[Columbia-Greene Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Columbia-Greene Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Columbus College of Art and Design](https://www.ccad.edu/publichealth)@@Columbus College of Art and Design,1-Sep-21,Private,OH,✓,--,✓,--,--,R
[Community College of Philadelphia](https://www.myccp.online/coronavirus)@@Community College of Philadelphia,19-Aug-21,Public,PA,✓,--,✓,--,--,D
[Concordia University at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Concordia University at Chicago,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Connecticut College](https://www.conncoll.edu/campus-life/student-health-services/coronavirus/coronavirus-communications/students/student-vaccination-requirement-may-12-2021/)@@Connecticut College,12-May-21,Private,CT,--,--,✓,--,--,D
[Cooper Union for the Advancement of Science and Art](https://cooper.edu/about/president/sparks/messages/vaccine-requirements-2021-2022)@@Cooper Union for the Advancement of Science and Art,--,Private,NY,✓,--,✓,--,--,D
[Coppin State University](https://www.usmd.edu/newsroom/news/2154)@@Coppin State University,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[Cornell University](https://news.cornell.edu/stories/2021/04/cornell-releases-plans-fall-return-campus)@@Cornell University,2-Apr-21,Private,NY,✓,--,✓,--,✓,D
[Cornish College of the Arts](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Cornish College of the Arts,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Cosumnes River College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Cosumnes River College,3-Aug-21,Public,CA,✓,--,✓,--,--,D
[Coyne College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Coyne College,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Creighton University](https://www.creighton.edu/office-president/messages-campus/spring-2021/may-26-2021)@@Creighton University,26-May-21,Private,NE,✓,--,✓,--,--,R
[Cuesta College](https://www.cuesta.edu/about/depts/marketing/covid-19-communications/email/08-26-21-email-from-president.html)@@Cuesta College,--,Public,CA,✓,--,✓,--,--,D
[Culinary Institute of America in New York](https://www.ciachef.edu/ny-fall-accepted-students-faqs/)@@Culinary Institute of America in New York,--,Private,NY,✓,--,✓,--,--,D
[Culver-Stockton College](https://culver.edu/about/covid-information/)@@Culver-Stockton College,--,Private,MO,--,--,✓,--,--,R
[CUNY Bernard M Baruch College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Bernard M Baruch College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Borough of Manhattan Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Borough of Manhattan Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Bronx Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Bronx Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Brooklyn College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Brooklyn College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY City College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY City College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Graduate School and University Center](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Graduate School and University Center,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Hostos Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Hostos Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Hunter College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Hunter College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY John Jay College of Criminal Justice](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY John Jay College of Criminal Justice,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Kingsborough Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Kingsborough Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY LaGuardia Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY LaGuardia Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Lehman College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Lehman College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Medgar Evers College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Medgar Evers College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY New York City College of Technology](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY New York City College of Technology,10-May-21,Public,NY,✓,--,✓,--,✓,D
[CUNY Queens College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Queens College,10-May-21,Public,NY,✓,--,✓,--,✓,D
